"drug_type","case","details","year","percentage","sex","age","race","hispanic"
"All drug overdose deaths","Total","All persons",1999,6.1,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2000,6.2,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2001,6.8,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2002,8.2,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2003,8.9,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2004,9.4,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2005,10.1,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2006,11.5,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2007,11.9,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2008,11.9,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2009,11.9,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2010,12.3,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2011,13.2,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2012,13.1,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2013,13.8,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2014,14.7,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2015,16.3,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2016,19.8,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2017,21.7,"All persons",NA,NA,NA
"All drug overdose deaths","Sex","Male",1999,8.2,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2000,8.3,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2001,9,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2002,10.6,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2003,11.5,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2004,11.8,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2005,12.8,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2006,14.8,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2007,14.9,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2008,14.9,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2009,14.8,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2010,15,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2011,16.1,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2012,16.1,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2017,29,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2013,17,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2014,18.3,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2015,20.8,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2016,26.2,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2017,29.1,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Female",1999,3.9,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2000,4.1,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2001,4.6,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2002,5.8,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2003,6.4,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2004,6.9,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2005,7.3,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2006,8.2,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2007,8.8,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2008,8.9,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2009,9.1,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2010,9.6,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2011,10.2,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2012,10.2,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2013,10.6,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2014,11.1,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2015,11.8,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2016,13.4,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2017,14.4,"Female",NA,NA,NA
"All drug overdose deaths","Sex and race","Male: White",1999,8.1,"Male",NA,"White",NA
"All drug overdose deaths","Sex and race","Male: White",2000,8.4,"Male",NA,"White",NA
"All drug overdose deaths","Sex and race","Male: White",2001,9.2,"Male",NA,"White",NA
"All drug overdose deaths","Sex and race","Male: White",2002,11.1,"Male",NA,"White",NA
"All drug overdose deaths","Sex and race","Male: White",2003,12.2,"Male",NA,"White",NA
"All drug overdose deaths","Sex and race","Male: White",2004,12.6,"Male",NA,"White",NA
"All drug overdose deaths","Sex and race","Male: White",2005,13.6,"Male",NA,"White",NA
"All drug overdose deaths","Sex and race","Male: White",2006,15.7,"Male",NA,"White",NA
"All drug overdose deaths","Sex and race","Male: White",2007,16.3,"Male",NA,"White",NA
"All drug overdose deaths","Sex and race","Male: White",2008,16.5,"Male",NA,"White",NA
"All drug overdose deaths","Sex and race","Male: White",2009,16.4,"Male",NA,"White",NA
"All drug overdose deaths","Sex and race","Male: White",2010,16.8,"Male",NA,"White",NA
"All drug overdose deaths","Sex and race","Male: White",2011,18.1,"Male",NA,"White",NA
"All drug overdose deaths","Sex and race","Male: White",2012,18.1,"Male",NA,"White",NA
"All drug overdose deaths","Sex and race","Male: White",2013,19,"Male",NA,"White",NA
"All drug overdose deaths","Sex and race","Male: White",2014,20.4,"Male",NA,"White",NA
"All drug overdose deaths","Sex and race","Male: White",2015,23.2,"Male",NA,"White",NA
"All drug overdose deaths","Sex and race","Male: White",2016,28.8,"Male",NA,"White",NA
"All drug overdose deaths","Sex and race","Male: White",2017,31.6,"Male",NA,"White",NA
"All drug overdose deaths","Sex and race","Male: White",2018,29.9,"Male",NA,"White",NA
"All drug overdose deaths","Sex and race","Male: Black or African American",1999,11.5,"Male",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Male: Black or African American",2000,10.8,"Male",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Male: Black or African American",2001,11,"Male",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Male: Black or African American",2002,11.5,"Male",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Male: Black or African American",2003,11.3,"Male",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Male: Black or African American",2004,11.1,"Male",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Male: Black or African American",2005,12.8,"Male",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Male: Black or African American",2006,15.2,"Male",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Male: Black or African American",2007,13,"Male",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Male: Black or African American",2008,11.3,"Male",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Male: Black or African American",2009,10.8,"Male",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Male: Black or African American",2010,10.1,"Male",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Male: Black or African American",2011,11,"Male",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Male: Black or African American",2012,11.3,"Male",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Male: Black or African American",2013,12.9,"Male",NA,"Black or African American",NA
"All drug overdose deaths","Sex and race","Male: Black or African American",2014,13.8,"Male",NA,"Black or African American",NA
